symptom, medicine, dosage
Stomach ache, Mint, Twice a day
Tiredness, Rumianek, Every two hour
Asthma, Common ivy, Every morning
Asthma, Forskolin, Twice a day
Asthma, Basil oil, Three times a day
Borreliosis, Traganek, Twice a day
Borreliosis, Herb Cleanse, Twice a day
Impotence, Bangalala,  Twice a day
Impotence, DHEA Hormon, Every morning
Impotence, Avena sativa, Three times a day
Cold, Ashwagandha, Four time a day
Cold, L-lizyne, twice  a day
Cold, vitamin C, Four time a day
Obesity, Forskolin, Twice a day
Cancer, Ashwagandha, Four time a day
Cancer, Cordyceps, Four time a day
Cancer, Tumeric, Five time a day
Flu, L-lizyne, Three times a day
